"Name","Team","PA","HR","SB","BABIP+","K%+","BB%+","ISO+","wRC+","Barrels","OPS","xwOBA","Barrel%","Off","maxEV","playerid"
"Jorge Soler","MIA","306","13","0","88","130","121","124","98","22",".695",".322","12.1%","-1.4","117.6","14221"
"Rafael Ortega","CHC","371","7","12","98","88","142","76","96","12",".688",".307","4.8%","-5.2","108.4","10323"
"Ozzie Albies","ATL","269","8","3","93","77","71","104","93","11",".703",".297","5.4%","-0.7","106.6","16556"
"Franchy Cordero","BOS","275","8","4","108","151","128","119","92","19",".697",".313","12.3%","0.2","117.9","14567"
"Nick Castellanos","PHI","558","13","7","112","103","62","81","94","26",".694",".302","6.6%","-6.8","110.1","11737"
"Tommy Pham","- - -","622","17","8","105","120","109","90","89","31",".686",".311","7.9%","-5.6","112.6","2967"
"Tyler Naquin","- - -","334","11","4","100","123","68","125","93","21",".705",".317","9.6%","-0.5","112.7","13359"
"Terrin Vavra","BAL","103","1","0","107","83","146","53","97","1",".677",".318","1.4%","-2.0","104.5","24400"
"Brandon Belt","SFG","298","8","1","95","120","149","89","96","22",".676",".326","12.6%","-2.3","108.3","10264"
"Luis Garcia","WSN","377","7","3","116","99","35","86","93","21",".704",".305","7.5%","-5.6","113.4","20391"
"Riley Greene","DET","418","5","1","122","129","108","73","98","24",".682",".316","9.3%","-1.1","112.1","25976"
"Corey Dickerson","STL","297","6","0","103","71","48","85","98","9",".698",".292","3.8%","-1.2","112.1","10762"
"Elehuris Montero","COL","185","6","0","109","143","52","128","79","10",".702",".260","8.6%","-4.2","109.5","20543"
"Kevin Newman","PIT","309","2","8","111","69","62","63","94","4",".687",".285","1.6%","0.7","108.2","17696"
"Esteban Quiroz","CHC","47","0","1","122","85","102","0","95","1",".645",".290","3.1%","-0.1","101.9","19780"
"Nick Ahmed","ARI","54","3","0","91","123","44","136","92","2",".702",".227","5.4%","-0.4","104.9","12147"
"Michael Massey","KCR","194","4","3","105","107","58","89","93","17",".683",".332","13.0%","-0.2","108.8","27684"
"Luis Gonzalez","SFG","350","4","10","109","95","103","68","95","7",".683",".268","2.9%","-1.3","109.7","20332"
"Cavan Biggio","TOR","303","6","2","95","126","158","99","97","12",".668",".288","6.9%","1.0","107.6","19252"
"Ildemaro Vargas","- - -","222","4","3","96","46","43","83","92","4",".691",".255","2.1%","-1.5","109.2","13324"
"Josh Donaldson","NYY","546","15","2","98","122","124","102","97","33",".682",".299","9.8%","-6.6","111.7","5038"
"Yermin Mercedes","SFG","83","1","0","100","91","130","71","95","4",".668",".329","7.1%","-0.5","111.7","17423"
"Aledmys Diaz","HOU","327","12","1","88","73","69","108","96","16",".691",".308","6.3%","-5.2","112.0","15937"
"Christian Bethancourt","- - -","333","11","5","105","108","45","105","101","28",".692",".318","11.7%","-0.8","113.4","10028"
"Colin Moran","CIN","128","5","0","80","104","150","107","86","7",".681",".318","8.5%","-3.1","110.4","16909"
"Taylor Trammell","SEA","117","4","2","84","127","140","138","99","7",".686",".292","9.9%","-0.5","112.3","19960"
"Keibert Ruiz","WSN","433","7","6","93","51","83","70","90","13",".673",".328","3.7%","-5.2","109.4","19610"
"Max Kepler","MIN","446","9","3","86","67","138","81","95","23",".666",".338","7.1%","-1.8","113.9","12144"
"Jon Berti","MIA","404","4","41","106","97","124","63","93","16",".662",".306","5.9%","4.9","109.1","12037"
"Chris Taylor","LAD","454","10","10","115","156","116","98","93","25",".677",".277","10.2%","-0.4","108.5","13757"
"Jesus Sanchez","MIA","343","13","1","89","119","91","122","93","22",".682",".298","9.9%","-4.1","114.7","19913"
"Marcell Ozuna","ATL","507","23","2","87","106","73","121","89","46",".687",".337","13.1%","-9.4","113.9","10324"
"LaMonte Wade Jr.","SFG","251","8","1","80","90","124","98","93","16",".665",".321","9.5%","-1.4","109.3","18126"
"Hunter Dozier","KCR","500","12","4","103","113","85","101","90","26",".679",".301","7.7%","-14.1","110.7","15117"
"Austin Wynns","SFG","177","3","0","110","95","68","64","93","5",".671",".267","4.0%","-4.0","106.4","15271"
"A.J. Pollock","CHW","527","14","3","96","84","76","96","92","37",".681",".317","9.4%","-6.0","110.8","9256"
"Nomar Mazara","SDP","171","2","0","117","103","70","57","94","5",".668",".294","4.2%","-1.1","110.4","14553"
"Michael A. Taylor","KCR","456","9","4","111","108","96","70","90","21",".670",".289","6.8%","-4.7","109.4","11489"
"Nolan Jones","CLE","94","2","0","124","148","107","86","93","8",".681",".325","14.5%","-1.6","111.8","20529"
"Leody Taveras","TEX","341","5","11","119","116","77","70","93","10",".675",".270","4.3%","-0.6","112.9","18900"
"Reese McGuire","- - -","274","3","1","115","92","55","67","90","5",".677",".267","2.5%","-5.1","109.6","15674"
"Harold Castro","DET","443","7","0","110","80","48","73","94","21",".681",".316","6.1%","-4.8","107.3","14691"
"Brandon Marsh","- - -","461","11","10","124","154","76","92","89","20",".679",".287","7.4%","-2.9","109.0","20202"
"Sam Huff","TEX","132","4","1","115","143","105","89","92","8",".675",".294","10.1%","-0.8","112.9","22209"
"Shea Langeliers","OAK","153","6","0","102","156","74","141","97","9",".691",".261","9.9%","-0.8","112.2","25816"
"Adam Duvall","ATL","315","12","0","96","142","80","121","87","24",".677",".293","12.8%","-2.2","110.1","10950"
"Curt Casali","- - -","176","5","0","90","126","166","83","92","6",".649",".289","6.0%","-1.5","106.6","12510"
"Ke'Bryan Hayes","PIT","560","7","20","105","96","103","65","88","15",".659",".303","3.9%","-6.8","113.0","18577"
"Whit Merrifield","- - -","550","11","16","95","70","87","84","88","18",".673",".288","4.2%","-4.6","107.6","11281"
"Joey Bart","SFG","291","11","2","112","170","107","96","90","15",".660",".296","10.1%","-4.8","114.3","21524"
"Peyton Burdick","MIA","102","4","1","97","152","94","112","91","6",".665",".296","10.5%","-1.1","109.8","25459"
"Gabriel Arias","CLE","57","1","1","92","126","176","85","90","2",".641",".290","6.3%","-0.6","109.9","22563"
"Ramon Laureano","OAK","383","13","11","90","122","82","110","96","28",".663",".307","11.6%","1.2","110.2","17128"
"Pavin Smith","ARI","277","9","1","90","107","121","95","87","18",".667",".304","9.9%","-3.8","109.2","19892"
"Brian Anderson","MIA","383","8","1","100","117","116","80","90","23",".657",".309","9.7%","-4.5","112.0","18289"
"Matt Reynolds","- - -","272","3","5","119","127","114","56","81","5",".652",".272","3.0%","-5.8","106.7","13788"
"Jose Trevino","NYY","353","11","2","95","79","53","94","91","14",".671",".281","5.1%","-4.9","109.4","16725"
"Raimel Tapia","TOR","433","7","8","109","84","46","77","90","17",".672",".286","5.1%","-2.6","111.7","14350"
"Aaron Hicks","NYY","453","8","10","96","108","172","65","90","16",".642",".303","5.8%","-2.6","109.6","5297"
"Nelson Cruz","WSN","507","10","4","101","104","116","66","85","31",".651",".320","9.3%","-11.8","113.8","2434"
"Nelson Velazquez","CHC","206","6","5","96","140","110","108","87","16",".659",".305","13.3%","-3.0","111.2","23359"
"Nick Solak","TEX","95","3","3","81","90","93","82","89","5",".638",".335","7.8%","-0.6","111.1","19294"
"Darin Ruf","- - -","388","11","2","89","120","139","87","89","20",".645",".310","8.6%","-4.7","112.1","9929"
"Javier Baez","DET","590","17","9","101","112","55","104","90","33",".671",".285","8.0%","-4.3","112.1","12979"
"Jorge Alfaro","SDP","274","7","1","125","158","48","88","90","18",".667",".295","11.2%","-3.2","115.2","12180"
"Jake Hager","ARI","59","0","0","125","127","162","26","84","2",".625",".247","5.9%","-0.5","102.7","12198"
"Gary Sanchez","MIN","471","16","2","89","130","107","115","89","39",".659",".321","13.5%","-8.3","115.1","11442"
"Austin Nola","SDP","397","4","2","98","67","102","50","89","7",".649",".305","2.4%","-5.9","109.1","15941"
"Bryson Stott","PHI","466","10","12","94","84","92","80","84","15",".653",".284","4.4%","-4.2","108.4","26294"
"Brandon Crawford","SFG","458","9","1","96","95","102","73","87","21",".652",".287","6.7%","-5.3","109.0","5343"
"Victor Caratini","MIL","314","9","0","78","94","118","93","84","13",".642",".309","6.3%","-8.9","112.8","14968"
"Joey Wendle","MIA","371","3","12","101","60","48","65","87","5",".658",".276","1.7%","-5.6","107.6","13853"
"Dee Strange-Gordon","WSN","59","0","3","121","60","0","33","83","0",".661",".213","0.0%","-1.3","100.4","8203"
"Jesus Aguilar","- - -","507","16","1","96","104","66","93","86","24",".661",".298","6.7%","-10.7","108.1","11342"
"Tony Kemp","OAK","558","7","11","90","56","101","66","91","7",".641",".267","1.6%","-1.4","103.2","14894"
"Ryan Jeffers","MIN","236","7","0","89","118","122","104","87","20",".648",".315","13.2%","-4.7","113.2","24618"
"Bobby Dalbec","BOS","353","12","3","101","150","103","104","80","24",".652",".296","11.8%","-6.3","113.9","19966"
"Odubel Herrera","PHI","197","5","6","96","94","67","91","82","7",".658",".272","4.9%","-3.3","111.2","11476"
"Owen Miller","CLE","472","6","2","100","89","85","73","85","12",".652",".291","3.5%","-6.8","109.1","24655"
"Spencer Steer","CIN","108","2","0","92","106","122","75","76","4",".632",".278","5.8%","-3.0","104.4","26323"
"Nick Pratto","KCR","182","7","0","86","163","131","136","82","12",".657",".267","12.5%","-5.2","109.0","22117"
"Harrison Bader","- - -","313","5","17","103","88","58","69","86","8",".650",".270","3.4%","-0.7","109.6","18030"
"Matt Thaiss","LAA","81","2","1","102","133","171","68","83","3",".640",".289","6.5%","-1.5","107.2","19318"
"Kevin Kiermaier","TBR","221","7","6","100","124","80","94","90","10",".649",".305","6.9%","0.7","109.9","11038"
"Alex Kirilloff","MIN","156","3","0","106","104","40","74","86","7",".651",".282","6.3%","-4.4","108.8","20325"
"Alejo Lopez","CIN","156","1","3","103","60","69","44","76","1",".645",".280","0.8%","-4.6","105.1","21127"
"Joey Gallo","- - -","410","19","3","75","178","169","130","85","33",".638",".295","17.6%","-6.3","113.0","14128"
"Mike Moustakas","CIN","285","7","2","93","116","101","84","76","11",".640",".270","6.1%","-8.5","111.7","4892"
"Willi Castro","DET","392","8","9","99","94","48","84","86","10",".651",".290","3.5%","-4.7","111.7","17338"
"Michael Toglia","COL","120","2","1","116","162","90","105","68","5",".653",".261","7.5%","-4.0","110.6","25845"
"Dermis Garcia","OAK","125","5","0","117","198","80","121","90","8",".652",".244","13.1%","-1.7","110.6","20926"
"Isiah Kiner-Falefa","NYY","531","4","22","102","61","83","44","85","5",".642",".290","1.2%","-7.8","109.8","16512"
"Matt Vierling","PHI","357","6","7","100","87","77","67","81","13",".648",".327","5.0%","-7.5","112.1","21558"
"Alfonso Rivas","CHC","287","3","6","118","134","121","46","83","7",".628",".281","4.2%","-3.9","108.0","21560"
"Yuli Gurriel","HOU","584","8","8","92","56","65","79","85","9",".647",".271","1.9%","-10.9","109.6","19198"
"Elias Diaz","COL","381","9","0","93","95","79","90","67","16",".648",".274","5.9%","-18.6","111.8","11680"
"Cody Bellinger","LAD","550","19","14","88","121","83","115","83","30",".654",".278","8.3%","-6.2","107.3","15998"
"Victor Reyes","DET","336","3","2","111","103","49","72","85","12",".651",".292","5.0%","-6.1","110.9","15487"
"Jarren Duran","BOS","223","3","7","104","127","79","95","78","11",".645",".282","7.7%","-5.1","110.4","24617"
"Robbie Grossman","- - -","477","7","6","98","121","145","67","82","10",".622",".281","3.5%","-9.8","105.8","5254"
"Yairo Munoz","PHI","60","3","1","70","74","60","125","80","2",".654",".263","4.3%","-1.1","106.9","16313"
"Jake Marisnick","PIT","82","2","2","108","129","58","101","80","4",".661",".270","7.4%","-2.3","110.2","11339"
"Cesar Hernandez","WSN","617","1","10","106","82","87","45","79","11",".629",".290","2.4%","-15.8","110.8","10556"
"Kyle Higashioka","NYY","248","10","0","85","94","61","108","83","18",".653",".317","9.8%","-4.8","109.1","5517"
"Michael Chavis","PIT","426","14","1","101","131","53","103","80","21",".654",".261","7.5%","-9.7","111.3","17321"
"Ezequiel Duran","TEX","220","5","4","102","110","69","87","82","7",".643",".256","4.5%","-4.7","110.2","23733"
"Edmundo Sosa","- - -","190","2","6","104","116","31","92","82","7",".644",".286","5.5%","-1.7","107.9","17022"
"Hoy Park","PIT","60","2","1","86","111","80","101","79","4",".648",".269","10.0%","-0.6","103.9","18027"
"Luke Maile","CLE","206","3","0","101","118","116","70","81","7",".627",".263","5.4%","-5.4","106.5","13355"
"Jorge Mateo","BAL","533","13","35","99","124","64","106","82","21",".646",".272","5.9%","-5.1","111.3","17273"
"Calvin Mitchell","PIT","232","5","3","95","99","93","79","79","8",".635",".292","4.9%","-4.6","107.3","22169"
"Charlie Culberson","TEX","124","2","2","114","113","51","70","81","1",".640",".251","1.1%","-3.7","103.8","3298"
"Jordan Luplow","ARI","234","11","5","64","113","128","120","78","11",".634",".288","7.5%","-5.8","108.8","16424"
"Chad Pinder","OAK","379","12","2","108","140","46","100","86","16",".648",".280","6.5%","-6.0","109.8","15191"
"Luis Barrera","OAK","85","1","3","98","90","89","70","86","2",".632",".261","3.3%","-2.1","107.3","19615"
"Josh Jung","TEX","102","5","2","96","172","49","144","81","6",".654",".287","10.2%","-4.0","108.3","26299"
"Trent Grisham","SDP","524","17","7","79","127","130","102","83","25",".626",".295","8.1%","-4.6","111.1","18564"
"Mike Ford","- - -","149","3","0","94","121","143","72","81","3",".615",".278","3.3%","-3.7","110.4","15585"
"Zach McKinstry","- - -","185","5","7","88","124","104","105","79","5",".635",".288","4.3%","-0.6","104.2","19392"
"Enrique Hernandez","BOS","402","6","0","89","79","106","78","75","17",".629",".296","5.8%","-12.0","112.3","10472"
"Franmil Reyes","- - -","473","14","2","106","149","78","95","80","32",".638",".275","11.3%","-13.6","112.4","14566"
"Gilberto Celestino","MIN","347","2","4","107","100","116","43","82","6",".615",".270","2.5%","-11.7","107.6","20233"
"Daz Cameron","DET","70","1","2","104","129","90","84","82","4",".629",".303","9.1%","-0.3","110.4","18353"
"Francisco Mejia","TBR","299","6","0","101","98","29","93","85","6",".645",".262","2.7%","-7.3","108.5","16403"
"Ryan McKenna","BAL","172","2","2","121","144","80","69","80","10",".634",".267","9.6%","-1.1","109.1","19928"
"Matt Duffy","LAA","247","2","0","108","91","86","41","78","5",".619",".280","2.8%","-7.8","105.8","13836"
"Albert Almora Jr.","CIN","235","5","3","89","87","87","81","71","3",".631",".270","1.8%","-10.9","108.6","14109"
"Rougned Odor","BAL","472","13","6","84","104","85","101","80","21",".632",".277","6.5%","-9.3","109.7","12282"
"Jonathan Davis","MIL","91","0","7","117","126","184","8","77","0",".581",".284","0.0%","-0.7","109.1","15104"
"Jared Walsh","LAA","454","15","2","97","137","75","106","78","27",".642",".280","9.5%","-12.2","112.1","18607"
"Jake Cave","MIN","177","5","2","92","125","78","114","81","12",".644",".285","10.3%","-2.9","108.9","14477"
"Jordan Groshans","MIA","65","1","0","110","88","74","32","80","1",".619",".263","2.1%","-1.8","107.0","23794"
"Jose Azocar","SDP","216","0","5","112","90","66","48","81","4",".629",".272","2.5%","-6.3","108.2","18821"
"Jo Adell","LAA","285","8","4","117","169","48","100","77","16",".637",".251","9.8%","-6.5","112.2","20220"
"Frank Schwindel","CHC","292","8","0","90","88","78","83","78","10",".635",".278","4.7%","-10.0","109.3","15351"
"Jeimer Candelario","DET","467","13","0","89","105","75","97","80","27",".633",".292","8.3%","-13.2","111.3","13621"
"Tommy La Stella","SFG","195","2","0","93","68","68","72","78","3",".632",".267","2.0%","-6.1","108.0","12371"
"Josh Lowe","TBR","198","2","3","116","150","95","81","83","6",".627",".272","5.2%","-1.7","107.4","19953"
"Johan Camargo","PHI","166","3","0","101","99","94","51","74","3",".613",".267","2.6%","-4.3","106.7","14950"
"Miguel Cabrera","DET","433","5","1","112","105","81","42","79","14",".622",".275","4.7%","-15.8","111.0","1744"
"Andrew Knizner","STL","293","4","0","92","94","106","55","79","7",".601",".280","3.5%","-9.0","110.2","19514"
"David Fletcher","LAA","228","2","1","92","32","39","53","75","0",".621",".295","0.0%","-7.9","99.0","17992"
"Yoan Moncada","CHW","433","12","2","91","118","93","94","76","28",".626",".289","9.8%","-10.2","111.5","17232"
"Carson Kelly","ARI","354","7","2","85","89","98","79","73","13",".617",".288","5.2%","-11.4","109.4","13620"
"Jordan Diaz","OAK","51","0","0","107","62","49","41","82","0",".621",".229","0.0%","-0.9","104.0","22650"
"Bubba Thompson","TEX","181","1","18","134","139","49","32","77","2",".613",".203","1.7%","-1.1","107.8","22261"
"Tyler Freeman","CLE","86","0","1","98","58","58","26","76","1",".600",".270","1.5%","-2.3","108.0","22532"
"Adam Frazier","SEA","602","3","11","92","55","96","48","81","7",".612",".297","1.5%","-13.1","105.1","15223"
"Yu Chang","- - -","190","4","0","100","139","105","71","78","10",".605",".290","9.0%","-6.4","111.3","14773"
"Diego Castillo","PIT","283","11","1","82","117","59","113","73","19",".633",".292","9.9%","-9.2","109.6","19906"
"Spencer Torkelson","DET","404","8","0","88","110","115","78","76","22",".604",".305","8.4%","-14.0","111.5","27465"
"Alek Thomas","ARI","411","8","4","90","80","64","73","71","12",".619",".277","3.8%","-11.8","111.3","23792"
"Ryan O'Hearn","KCR","145","1","0","108","109","69","55","72","7",".611",".327","7.0%","-4.4","110.5","16442"
"Nick Senzel","CIN","420","5","8","95","80","85","48","66","10",".601",".299","3.2%","-17.5","109.5","19293"
"Buddy Kennedy","ARI","94","1","0","96","108","102","70","71","1",".613",".255","1.6%","-3.0","104.9","22505"
"Luke Raley","TBR","72","1","0","103","150","122","55","80","5",".584",".286","13.2%","-1.5","110.9","19354"
"Yan Gomes","CHC","293","8","2","87","71","33","84","73","8",".625",".287","3.4%","-11.2","107.5","9627"
"Hanser Alberto","LAD","159","2","0","96","70","23","79","73","2",".623",".234","1.5%","-7.0","104.1","11902"
"Omar Narvaez","MIL","296","4","0","85","85","117","64","71","5",".597",".268","2.4%","-10.2","106.4","13338"
"Sergio Alcantara","- - -","224","6","1","92","113","64","88","70","3",".617",".244","1.9%","-7.8","104.1","16417"
"Jose Siri","- - -","325","7","14","105","150","77","85","75","12",".607",".261","6.2%","-3.4","112.0","17452"
"Miguel Rojas","MIA","507","6","9","89","53","61","56","73","8",".605",".293","1.9%","-19.9","109.1","7802"
"Vimael Machin","OAK","253","1","1","93","84","124","45","77","7",".587",".301","3.9%","-7.7","108.5","17684"
"Nick Madrigal","CHC","228","0","3","98","52","73","22","70","0",".588",".283","0.0%","-8.2","106.5","20521"
"CJ Abrams","- - -","302","2","7","100","73","20","50","71","5",".604",".266","2.1%","-8.5","109.6","25768"
"Garrett Hampson","COL","226","2","12","101","123","111","62","55","6",".594",".261","4.3%","-10.3","107.0","19262"
"Aristides Aquino","CIN","276","10","2","95","162","74","107","63","13",".609",".243","8.2%","-10.4","113.6","15482"
"J.J. Bleday","MIA","238","5","4","74","124","151","92","72","12",".586",".280","8.6%","-7.1","107.9","26368"
"Roman Quinn","- - -","87","0","4","136","185","99","59","73","2",".591",".244","4.7%","-2.5","107.4","13546"
"Oscar Mercado","- - -","128","4","2","81","102","49","111","70","6",".614",".258","6.5%","-4.3","106.3","16375"
"Jacob Stallings","MIA","384","4","0","96","96","90","45","71","9",".584",".274","3.4%","-18.2","109.5","13723"
"Luke Williams","- - -","136","1","11","121","143","79","51","71","3",".602",".233","3.6%","-3.5","105.7","19931"
"Kyle Isbel","KCR","278","5","9","95","121","72","86","67","9",".603",".266","4.9%","-11.1","111.2","21614"
"Tomas Nido","NYM","313","3","0","108","107","54","55","74","14",".600",".287","6.3%","-16.3","107.4","13755"
"Cam Gallagher","KCR","47","0","0","107","124","80","80","67","0",".600",".220","0.0%","-1.6","110.2","12981"
"Martin Maldonado","HOU","379","15","0","79","138","73","111","70","19",".600",".253","8.1%","-16.6","109.2","6887"
"Romy Gonzalez","CHW","109","2","0","122","161","23","77","69","6",".609",".265","9.0%","-4.4","110.5","21562"
"Jonathan Aranda","TBR","87","2","0","85","119","116","86","74","4",".596",".279","7.3%","-1.8","108.0","21837"
"Yasmani Grandal","CHW","376","5","1","86","95","150","45","68","12",".570",".290","4.8%","-19.7","110.2","11368"
"Brad Miller","TEX","241","7","4","95","131","94","72","69","12",".590",".269","7.8%","-9.6","110.7","12775"
"Travis Demeritte","ATL","96","3","0","100","147","75","80","65","4",".597",".263","6.9%","-5.3","109.5","15958"
"Brian Serven","COL","205","6","0","80","95","76","83","52","4",".593",".254","2.7%","-12.3","105.8","19422"
"Connor Wong","BOS","56","1","0","86","129","112","84","63","4",".585",".281","11.8%","-1.6","110.3","19896"
"Cooper Hummel","ARI","201","3","4","87","141","137","84","65","8",".580",".292","7.1%","-8.1","110.9","19458"
"Josh Smith","TEX","253","2","4","84","89","139","35","68","4",".556",".296","2.4%","-8.9","105.4","26396"
"Wynton Bernard","COL","42","0","3","121","84","0","15","51","0",".595",".226","0.0%","-1.9","106.6","13408"
"Skye Bolt","OAK","116","4","5","80","116","76","88","73","4",".589",".258","5.2%","-2.5","107.8","17723"
"Luis Torrens","SEA","166","3","0","107","136","91","49","72","5",".581",".284","4.9%","-6.6","107.8","15905"
"Maikel Franco","WSN","388","9","1","90","85","37","73","64","14",".597",".272","4.7%","-19.8","112.1","12179"
"Tyler Nevin","BAL","184","2","0","89","113","137","43","67","4",".560",".293","3.5%","-8.0","107.0","17893"
"Eli White","TEX","117","3","12","100","158","118","70","67","3",".578",".255","4.6%","-0.2","105.2","19346"
"Kole Calhoun","TEX","424","12","3","91","144","80","90","67","25",".587",".294","9.8%","-16.7","109.9","11200"
"Victor Robles","WSN","407","6","15","100","113","50","56","64","9",".584",".244","3.2%","-14.3","109.7","18363"
"Brett Baty","NYM","42","2","0","61","84","57","102","71","2",".586",".332","6.5%","-2.2","113.0","26123"
"Kevin Plawecki","- - -","186","1","0","91","77","95","44","61","0",".572",".268","0.0%","-10.0","109.2","13807"
"Tim Locastro","NYY","46","2","8","61","68","55","109","67","2",".588",".316","5.6%","0.0","108.1","15124"
"Avisail Garcia","MIA","380","8","4","102","127","54","60","66","16",".582",".281","6.4%","-16.1","116.8","5760"
"Eddie Rosario","ATL","270","5","3","92","111","75","75","62","10",".587",".250","5.4%","-10.8","107.3","12155"
"Max Stassi","LAA","375","9","0","83","134","127","82","63","21",".571",".266","9.4%","-18.1","107.5","10059"
"J.J. Matijevic","HOU","71","2","1","104","158","35","80","66","1",".582",".259","2.4%","-2.4","109.4","20165"
"Stephen Piscotty","OAK","139","5","2","87","155","81","101","70","5",".593",".275","6.3%","-5.2","107.9","13367"
"Richie Palacios","CLE","123","0","2","97","73","92","36","65","1",".578",".277","1.1%","-4.6","104.7","24589"
"Jake Meyers","HOU","160","1","2","119","152","55","58","65","5",".582",".251","5.2%","-5.7","107.8","20308"
"Luis Campusano","SDP","50","1","0","102","97","24","54","67","2",".593",".258","5.3%","-2.3","107.8","22217"
"Jonah Bride","OAK","187","1","1","85","77","128","29","70","2",".548",".282","1.5%","-7.9","109.0","24703"
"Myles Straw","CLE","596","0","21","90","66","114","35","64","3",".564",".275","0.7%","-16.4","104.8","17620"
"Marwin Gonzalez","NYY","207","6","3","77","117","85","91","65","8",".576",".282","5.9%","-9.2","107.0","5497"
"Akil Baddoo","DET","225","2","9","100","128","134","43","65","5",".558",".253","3.6%","-6.6","108.5","22168"
"Adam Engel","CHW","260","2","12","110","132","53","57","63","3",".579",".246","1.8%","-8.6","111.2","15082"
"Meibrys Viloria","TEX","75","2","0","84","174","184","74","63","3",".550",".243","8.6%","-1.5","105.2","17109"
"Dominic Smith","NYM","152","0","0","90","108","94","58","67","7",".560",".293","7.1%","-4.2","107.2","15653"
"Kurt Suzuki","LAA","159","4","0","67","82","119","77","60","4",".561",".255","3.5%","-9.5","104.2","8259"
"Jason Heyward","CHC","151","1","1","89","94","87","47","61","5",".556",".278","4.8%","-7.0","111.1","4940"
"Sheldon Neuse","OAK","293","4","6","100","123","86","49","67","6",".561",".254","3.1%","-9.6","108.3","19635"
"Tucker Barnhart","DET","308","1","0","102","108","102","31","63","4",".554",".244","1.9%","-14.6","105.2","10200"
"Geraldo Perdomo","ARI","500","5","9","83","91","120","43","59","7",".547",".269","2.0%","-18.7","104.7","22799"
"Taylor Walls","TBR","466","8","10","76","116","140","76","66","18",".553",".270","6.2%","-14.5","105.7","22458"
"Mark Vientos","NYM","41","1","0","75","129","146","72","65","2",".546",".280","8.3%","-1.8","111.9","22184"
"Jackie Bradley Jr.","- - -","370","4","2","87","94","81","72","56","13",".566",".268","4.8%","-18.9","107.6","12984"
"Didi Gregorius","PHI","232","1","1","84","69","67","60","58","5",".567",".275","2.8%","-9.3","106.5","6012"
"Robinson Chirinos","BAL","220","4","1","86","137","108","72","61","9",".552",".245","6.9%","-10.9","107.6","3142"
"Josh VanMeter","PIT","192","3","4","80","104","118","68","59","6",".558",".288","4.7%","-8.1","104.9","15170"
"Sam Hilliard","COL","200","2","5","88","126","138","52","44","11",".544",".303","9.2%","-11.2","115.1","17954"
"Nicky Lopez","KCR","480","0","13","91","59","76","31","57","6",".554",".273","1.6%","-18.2","106.7","19339"
"Jonathan Villar","- - -","220","3","7","94","119","83","61","58","4",".562",".247","2.7%","-8.4","109.5","10071"
"Derek Hill","DET","92","1","3","113","137","68","40","60","2",".559",".230","3.4%","-3.3","110.3","16947"
"Tucupita Marcano","PIT","177","2","2","93","110","68","65","57","2",".562",".213","1.6%","-7.8","103.8","22871"
"Andy Ibanez","TEX","128","1","3","89","74","88","39","59","6",".551",".272","6.1%","-4.7","104.3","18819"
"Stephen Vogt","OAK","191","7","1","58","108","112","108","64","10",".562",".282","7.9%","-7.8","106.8","5000"
"Willie Calhoun","- - -","62","1","0","48","58","181","77","59","1",".524",".309","2.3%","-3.5","110.4","17838"
"Riley Adams","WSN","155","5","0","75","131","93","86","56","9",".555",".276","9.4%","-9.1","115.0","19864"
"Rene Pinto","TBR","83","2","0","120","190","30","75","64","2",".566",".219","4.4%","-4.1","111.3","19859"
"Tyler Heineman","- - -","174","0","1","83","43","55","33","57","0",".544",".273","0.0%","-9.8","102.5","13897"
"Mauricio Dubon","- - -","265","5","2","76","51","61","65","59","5",".565",".272","2.3%","-13.2","107.6","16530"
"Miguel Andujar","- - -","140","1","4","97","87","44","50","58","4",".568",".281","3.7%","-5.2","110.4","15878"
"Tyler Wade","LAA","163","1","8","95","91","77","36","55","2",".544",".248","1.7%","-8.3","109.0","15730"
"Sandy Leon","- - -","86","0","0","94","141","190","28","58","0",".509",".263","0.0%","-6.5","104.0","5273"
"Abraham Toro","SEA","352","10","2","68","83","79","93","62","18",".563",".284","6.8%","-16.3","108.2","19844"
"Guillermo Heredia","ATL","82","3","0","75","173","88","119","53","5",".562",".228","11.4%","-3.5","107.3","18721"
"Jonathan Schoop","DET","510","11","5","81","94","47","81","58","18",".561",".268","4.8%","-24.5","111.6","11265"
"Zack Collins","- - -","108","4","0","72","170","103","110","57","5",".551",".257","8.8%","-5.6","107.9","19181"
"Alec Burleson","STL","53","1","1","72","75","113","54","58","4",".535",".322","10.3%","-2.5","109.2","27615"
"Nick Allen","OAK","326","4","3","86","88","73","56","61","3",".547",".238","1.2%","-13.8","104.6","22277"
"Willians Astudillo","MIA","55","1","1","82","24","22","36","56","0",".551",".265","0.0%","-3.2","106.6","15608"
"James McCann","NYM","191","3","3","84","106","69","56","59","8",".538",".311","6.2%","-8.7","108.4","12859"
"Jason Delay","PIT","167","1","0","106","132","64","37","53","2",".536",".230","1.9%","-11.0","107.3","19806"
"Alcides Escobar","WSN","131","0","1","101","108","46","42","51","1",".542",".233","1.1%","-6.5","108.1","6310"
"Greg Allen","PIT","134","2","8","92","139","89","55","52","2",".531",".229","2.5%","-4.8","105.7","16623"
"Paul DeJong","STL","237","6","3","73","147","106","83","55","13",".530",".267","9.8%","-13.0","110.3","18015"
"Seth Beer","ARI","126","1","0","86","109","104","35","49","3",".521",".276","3.7%","-9.3","107.7","20493"
